"mz";"intensity";"filename"
50;138;"bromoanisole"
51;472;"bromoanisole"
60;59;"bromoanisole"
61;339;"bromoanisole"
62;649;"bromoanisole"
65;388;"bromoanisole"
73;127;"bromoanisole"
74;361;"bromoanisole"
75;175;"bromoanisole"
78;89;"bromoanisole"
88;78;"bromoanisole"
90;56;"bromoanisole"
92;43;"bromoanisole"
103;53;"bromoanisole"
108;88;"bromoanisole"
111;140;"bromoanisole"
115;47;"bromoanisole"
122;999;"bromoanisole"
130;48;"bromoanisole"
131;65;"bromoanisole"
133;115;"bromoanisole"
135;738;"bromoanisole"
136;67;"bromoanisole"
137;597;"bromoanisole"
140;20;"bromoanisole"
141;92;"bromoanisole"
143;182;"bromoanisole"
144;41;"bromoanisole"
145;104;"bromoanisole"
148;14;"bromoanisole"
149;324;"bromoanisole"
150;179;"bromoanisole"
152;23;"bromoanisole"
153;30;"bromoanisole"
155;65;"bromoanisole"
159;33;"bromoanisole"
162;21;"bromoanisole"
163;617;"bromoanisole"
164;66;"bromoanisole"
175;23;"bromoanisole"
177;121;"bromoanisole"
178;7;"bromoanisole"
179;107;"bromoanisole"
182;20;"bromoanisole"
188;15;"bromoanisole"
191;59;"bromoanisole"
198;14;"bromoanisole"
206;36;"bromoanisole"
211;15;"bromoanisole"
220;15;"bromoanisole"
222;15;"bromoanisole"
223;22;"bromoanisole"
224;28;"bromoanisole"
227;8;"bromoanisole"
232;4;"bromoanisole"
233;15;"bromoanisole"
235;16;"bromoanisole"
237;14;"bromoanisole"
238;22;"bromoanisole"
243;13;"bromoanisole"
248;21;"bromoanisole"
250;18;"bromoanisole"
251;9;"bromoanisole"
252;21;"bromoanisole"
258;5;"bromoanisole"
262;15;"bromoanisole"
266;21;"bromoanisole"
271;21;"bromoanisole"
280;8;"bromoanisole"
282;10;"bromoanisole"
283;11;"bromoanisole"
290;14;"bromoanisole"
295;14;"bromoanisole"
297;8;"bromoanisole"
298;14;"bromoanisole"
300;7;"bromoanisole"
301;63;"bromoanisole"
303;52;"bromoanisole"
304;11;"bromoanisole"
305;9;"bromoanisole"
324;10;"bromoanisole"
327;14;"bromoanisole"
329;111;"bromoanisole"
331;75;"bromoanisole"
332;9;"bromoanisole"
333;35;"bromoanisole"
340;9;"bromoanisole"
342;28;"bromoanisole"
343;13;"bromoanisole"
344;94;"bromoanisole"
345;27;"bromoanisole"
346;110;"bromoanisole"
347;16;"bromoanisole"
348;55;"bromoanisole"
349;16;"bromoanisole"
366;8;"bromoanisole"
371;9;"bromoanisole"
382;8;"bromoanisole"
385;8;"bromoanisole"
390;13;"bromoanisole"
400;9;"bromoanisole"
405;7;"bromoanisole"
412;11;"bromoanisole"
419;3;"bromoanisole"
426;7;"bromoanisole"
437;7;"bromoanisole"
442;9;"bromoanisole"
455;10;"bromoanisole"
456;15;"bromoanisole"
463;7;"bromoanisole"
471;7;"bromoanisole"
477;13;"bromoanisole"
478;8;"bromoanisole"
479;10;"bromoanisole"
494;9;"bromoanisole"
501;13;"bromoanisole"
502;7;"bromoanisole"
504;7;"bromoanisole"
510;11;"bromoanisole"
511;8;"bromoanisole"
512;7;"bromoanisole"
514;7;"bromoanisole"
515;5;"bromoanisole"
525;9;"bromoanisole"
530;10;"bromoanisole"
532;11;"bromoanisole"
533;7;"bromoanisole"
535;8;"bromoanisole"
560;8;"bromoanisole"
568;13;"bromoanisole"
573;9;"bromoanisole"
574;13;"bromoanisole"
583;3;"bromoanisole"
590;7;"bromoanisole"
591;9;"bromoanisole"
600;14;"bromoanisole"
608;7;"bromoanisole"
609;3;"bromoanisole"
618;9;"bromoanisole"
623;8;"bromoanisole"
628;8;"bromoanisole"
632;7;"bromoanisole"
634;9;"bromoanisole"
635;8;"bromoanisole"
636;9;"bromoanisole"
650;8;"bromoanisole"
651;8;"bromoanisole"
661;10;"bromoanisole"
670;15;"bromoanisole"
671;8;"bromoanisole"
673;13;"bromoanisole"
679;9;"bromoanisole"
708;7;"bromoanisole"
745;3;"bromoanisole"
749;7;"bromoanisole"
758;5;"bromoanisole"
764;8;"bromoanisole"
786;7;"bromoanisole"
793;9;"bromoanisole"
50;134;"bromodibenzoylmethane"
51;404;"bromodibenzoylmethane"
52;54;"bromodibenzoylmethane"
58;9;"bromodibenzoylmethane"
64;17;"bromodibenzoylmethane"
65;89;"bromodibenzoylmethane"
69;999;"bromodibenzoylmethane"
70;21;"bromodibenzoylmethane"
76;83;"bromodibenzoylmethane"
77;754;"bromodibenzoylmethane"
78;75;"bromodibenzoylmethane"
88;6;"bromodibenzoylmethane"
89;63;"bromodibenzoylmethane"
90;13;"bromodibenzoylmethane"
105;810;"bromodibenzoylmethane"
106;57;"bromodibenzoylmethane"
118;4;"bromodibenzoylmethane"
139;6;"bromodibenzoylmethane"
147;168;"bromodibenzoylmethane"
158;13;"bromodibenzoylmethane"
164;3;"bromodibenzoylmethane"
166;6;"bromodibenzoylmethane"
178;4;"bromodibenzoylmethane"
181;5;"bromodibenzoylmethane"
191;4;"bromodibenzoylmethane"
203;2;"bromodibenzoylmethane"
210;2;"bromodibenzoylmethane"
213;2;"bromodibenzoylmethane"
223;216;"bromodibenzoylmethane"
224;173;"bromodibenzoylmethane"
260;4;"bromodibenzoylmethane"
273;2;"bromodibenzoylmethane"
278;1;"bromodibenzoylmethane"
281;2;"bromodibenzoylmethane"
